"num","state_name","AT","BE","DE","DK","EE","FI","GB","IE","KR","NL","NO","PL","SK","US"
1,"wb_t_book",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"book_a_c",2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,"ss",3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,"ss_so",4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,"so_1_3",5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,"so_ok",6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,"wb",7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,"combobox",8,8,8,8,8,8,8,8,8,8,8,8,8,8
9,"wb_t_f",9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,"wb_t_b",10,10,10,10,10,10,10,10,10,10,10,10,10,10
11,"wb_t_ho",11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,"keypress",12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,"wb_f",13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,"so_c",14,14,14,14,14,14,14,14,14,14,14,14,14,14
15,"so_2_asc",15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,"wb_t_h",16,16,16,16,16,16,16,16,16,16,16,16,16,16
17,"ss_data",17,17,17,17,17,17,17,17,17,17,17,17,17,17
18,"so",18,18,18,18,18,18,18,18,18,18,18,18,18,18
19,"so_2_desc",19,19,19,19,19,19,19,19,19,19,19,19,19,19
20,"ss_file",20,20,20,20,20,20,20,20,20,20,20,20,20,20
21,"so_1_4",21,21,21,21,21,21,21,21,21,21,21,21,21,21
22,"split_v",22,22,22,22,22,22,22,22,22,22,22,22,22,22
23,"wb_h",23,23,23,23,23,23,23,23,23,23,23,23,23,23
24,"wb_t_sch",24,24,24,24,24,24,24,24,24,24,24,24,24,24
25,"ss_edit",25,25,25,25,25,25,25,25,25,25,25,25,25,25
26,"wb_e",26,26,26,26,26,26,26,26,26,26,26,26,26,26
27,"so_1_2",27,27,27,27,27,27,27,27,27,27,27,27,27,27
28,"ss_sch",28,28,28,28,28,28,28,28,28,28,28,28,28,28
29,"sch_ok",29,29,29,29,29,29,29,29,29,29,29,29,29,29
30,"sch_n",30,30,30,30,30,30,30,30,30,30,30,30,30,30
31,"split_h",31,31,31,31,31,31,31,31,31,31,31,31,31,31
32,"ss_help",32,32,32,32,32,32,32,32,32,32,32,32,32,32
33,"ss_save",33,33,33,33,33,33,33,33,33,33,33,33,33,33
34,"help_a",34,34,34,34,34,34,34,34,34,34,34,34,34,34
35,"so_1_1",35,35,35,35,35,35,35,35,35,35,35,35,35,35
36,"sch",36,36,36,36,36,36,36,36,36,36,36,36,36,36
37,"sch_b",37,37,37,37,37,37,37,37,37,37,37,37,37,37
38,"help",38,38,38,38,38,38,38,38,38,38,38,38,38,38
39,"so_1_0",39,39,39,39,39,39,39,39,39,39,39,39,39,39
40,"save",40,40,40,40,40,40,40,40,40,40,40,40,40,40
41,"ss_copy",41,41,41,41,41,41,41,41,41,41,41,41,41,41
42,"wb_book",42,42,42,42,42,42,42,42,42,42,42,42,42,42
43,"book_a",43,43,43,43,43,43,43,43,43,43,43,43,43,43
44,"ss_pst",44,44,44,44,44,44,44,44,44,44,44,44,44,44
45,"book_a_ok",45,45,45,45,45,45,45,45,45,45,45,45,45,45
46,"book_m",46,46,46,46,46,46,46,46,46,46,46,46,46,46
47,"book_m_ok",47,47,47,47,NA,47,47,47,47,47,47,47,NA,NA
48,"book_m_l",48,NA,NA,NA,NA,48,48,48,48,48,48,48,NA,NA
49,"ss_cut",49,48,48,48,47,49,49,49,49,49,49,49,47,47
50,"book_m_c",NA,49,49,49,48,50,50,50,50,50,50,50,NA,48
51,"b",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,51,NA,NA,49
52,"book_d",NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,51,NA,NA
