"parameter","chains","draws_per_chain","mean_all_four_chains","sd","rhat","ess_bulk","ess_tail","mcse_mean","status","review_flag","comparison","mean_seed123"
"BETA_intercept",4,20000,-0.00652989010588967,0.0697723016871914,1.00018791832256,2668.51956567048,11747.6316127018,0.00135066422071211,"estimated",FALSE,"cdtally_AT",-0.0060356292516486
"VC_va",4,20000,0.110961067849935,0.0262683239580327,1.00117408844771,3344.86101814335,8249.49681509552,0.000464014146135014,"estimated",FALSE,"cdtally_AT",0.110842611099179
"VC_cab",4,20000,-2.94939732115729e-05,0.0146934896875701,1.00010305394331,46012.1612632101,67974.894791748,6.83749492459233e-05,"estimated",FALSE,"cdtally_AT",0.000107893718510349
"VC_vb",4,20000,0.0893036254882828,0.0187820815181113,0.999981105786113,62345.3523777708,76474.3920179308,7.46474846341262e-05,"estimated",FALSE,"cdtally_AT",0.0893029304160866
"VC_ve",4,20000,0.00574369606854508,0.000514538428734726,1.00046278004193,15752.2712782145,33831.7669854505,4.11537539361741e-06,"estimated",FALSE,"cdtally_AT",0.00575386218534974
"BETA_intercept",4,20000,-0.00335186665865623,0.086376290722311,1.00181435296309,2531.08453523706,8100.60291263495,0.00171974934317013,"estimated",FALSE,"cdtally_SK_GB",-0.00832408223894085
"VC_va",4,20000,0.141176994636253,0.0376447368108158,1.00114516110422,3356.06555440558,6840.63946772471,0.000671529643216608,"estimated",FALSE,"cdtally_SK_GB",0.139725225065119
"VC_cab",4,20000,-0.000357884271774116,0.0201847869490725,1.00025087521684,14727.6806304677,37076.0589891277,0.000166077405643621,"estimated",FALSE,"cdtally_SK_GB",-0.000221479070667632
"VC_vb",4,20000,0.109652708312373,0.024692774831164,1.00000812282587,36912.9131676141,64026.3913443494,0.000127324004892546,"estimated",FALSE,"cdtally_SK_GB",0.109853817039946
"VC_ve",4,20000,0.0126268176189661,0.00159284800475581,1.00048228738132,11178.5757466903,26505.1574398659,1.51269849517807e-05,"estimated",FALSE,"cdtally_SK_GB",0.0126133111810498
"BETA_intercept",4,20000,0.000163636887831616,0.0380758599333237,1.00312385899429,570.767239150756,2499.42709910869,0.00159404928405835,"estimated",FALSE,"lamp_GB",-7.65528479942725e-05
"VC_va",4,20000,0.0626183761166214,0.0110647746637974,1.00624858157078,841.947988886668,2171.2197062584,0.000386674705429191,"estimated",FALSE,"lamp_GB",0.0615031674724762
"VC_cab",4,20000,-0.000116858353297788,0.00548288353590122,1.00023292912276,12627.987849291,42051.6857089124,4.87596367483577e-05,"estimated",FALSE,"lamp_GB",6.32512129165485e-05
"VC_vb",4,20000,0.0439630390895352,0.00641755310772489,1.00019508558248,29496.8963770672,57822.9728237211,3.75851330159455e-05,"estimated",FALSE,"lamp_GB",0.0439414478255482
"VC_ve",4,20000,0.00369916956553179,0.00026113146571329,1.00626774314841,2366.89203428302,15908.5331432533,5.31620132259258e-06,"estimated",FALSE,"lamp_GB",0.00368966270540235
"BETA_intercept",4,20000,0.000290974728571653,0.0436068840848463,1.00635589141592,664.350124608407,2658.3623931602,0.0016916912724552,"estimated",FALSE,"lamp_SK_GB",-0.00372197314822065
"VC_va",4,20000,0.0744225575584134,0.0141800614563314,1.00327514975501,1168.97391552909,2919.22634590762,0.000420773489350178,"estimated",FALSE,"lamp_SK_GB",0.0749178803827043
"VC_cab",4,20000,9.27571473736867e-05,0.00646671914549708,1.00043790607451,13829.4537277914,41527.671947653,5.50444492634397e-05,"estimated",FALSE,"lamp_SK_GB",2.51779421105629e-05
"VC_vb",4,20000,0.0477153127635838,0.00720650564858445,1.00021973837107,25336.7581485628,60684.6413745593,4.4898275531999e-05,"estimated",FALSE,"lamp_SK_GB",0.0477123630307732
"VC_ve",4,20000,0.00585088405960524,0.000547344388275941,1.00361433951036,2174.90112619,8303.3640150527,1.16979220148214e-05,"estimated",FALSE,"lamp_SK_GB",0.00582882611533274
