"parameter","mean","sd","rhat","ess_bulk","ess_tail"
"mu_beta_cr[2,1]",-1.22487215118911,0.120231764100119,1.03384159267204,142.577193599821,300.038816692227
"beta_key1[1,9]",-1.24288758964216,0.123281048235789,1.03289245664938,145.801933692831,343.967368671827
"beta_key1[1,2]",-1.2300177019382,0.123286483153874,1.03281180479428,146.709878787678,340.74686028025
"beta_key1[1,11]",-1.21171472684157,0.122912136312103,1.03274275276715,148.547139174871,340.174990420643
"beta_key1[1,1]",-1.22185484347612,0.123061354604986,1.03273114105222,148.371153183513,357.613571813833
"beta_key1[1,7]",-1.21134368092406,0.123024038354695,1.03258132142283,149.495506538169,353.347867093514
"beta_key1[1,4]",-1.22602526303695,0.122962347386178,1.03254108639459,149.441091867665,343.986549801297
"beta_key1[1,3]",-1.21267957489349,0.123102105111222,1.03247774976498,150.129663531091,379.165114632131
"beta_key1[1,10]",-1.22664333973578,0.123042526050892,1.03234279102296,149.468422345672,334.182892379321
"beta_key1[1,12]",-1.22995254429442,0.123553847065831,1.03207942125809,148.601678225125,345.398175536047
"beta_key1[1,13]",-1.23723782727141,0.124307301745849,1.03206235757976,149.186230751322,337.703142901835
"beta_key1[1,5]",-1.22514584735112,0.123221940838812,1.03201370093874,148.465747511016,326.345229908681
"beta_key1[1,6]",-1.23605627039101,0.123407780562581,1.03190326394037,151.763540317426,363.080216841692
"beta_key1[1,14]",-1.2173576193251,0.123765144979283,1.03164268898612,153.417814733029,369.376310194477
"beta_key1[1,8]",-1.22009572281116,0.123878159637165,1.03096248662726,153.877477140485,372.609641730089
"kappa1[5,15]",9.44562818971636,1.92945418444827,1.02931247566766,158.093000019879,256.918848302775
"kappa1[15,6]",25.8085521655447,5.26714989034147,1.02896318227522,158.385808935975,254.917458170763
"kappa1[5,6]",9.73070335848906,1.98461965405536,1.02896092141216,156.334904515853,241.537326280215
"kappa1[4,5]",12.5246242577589,2.55066840039379,1.02894968319317,156.673948087493,244.177909673593
"kappa1[17,18]",32.4096574043635,6.63564887982274,1.02891998889963,157.241963483987,249.661055588609
"kappa1[18,5]",13.3485843688155,2.72110401803452,1.02887483918448,158.935729620709,252.145833598353
"kappa1[6,7]",72.9053547227495,8.50914085309765,1.02840147917105,161.928484127176,358.164330819151
"kappa1[19,6]",23.2773395325529,4.87856606239901,1.02756636551696,163.038470971393,269.199320885369
"kappa1[5,19]",2.22019757323081,0.46535300443815,1.02718692152787,165.945413135483,263.049890147588
"kappa1[15,5]",3.34847823261831,0.721093156166421,1.02633423190981,172.265336469386,285.374663977705
"kappa1[6,17]",0.408543601515516,0.0883156359143207,1.02570026268357,180.045977658854,311.015063784339
"kappa1[4,15]",1.00712698104585,0.222595481949208,1.02438712478661,189.864548911651,309.666443820071
"kappa1[18,15]",1.07068334126449,0.239360580353661,1.02428571870827,194.858098683805,334.128425821733
"kappa1[6,4]",0.344123513791876,0.0755705597855164,1.02420933135021,191.258602816374,322.429799300702
"kappa1[6,3]",9.93633541970127,1.2606067650388,1.0230038963578,193.6814119387,514.932048089745
"kappa1[19,5]",3.88083953185139,0.934032781683168,1.02080461294516,222.044225432407,340.28577208441
"kappa1[19,15]",2.60862818106066,0.66813381856478,1.0199569752612,230.109536231589,434.263653336222
"kappa1[4,19]",0.411467566909892,0.100167794896059,1.01944099909141,244.14684838394,404.720082324534
"mu_beta_cr[2,3]",1.82643650720668,0.247316392930464,1.01871953364357,130.666836823503,341.813548909076
"beta_key1[3,2]",1.7498969075275,0.252907963395875,1.01844805924509,134.775142146235,352.977777171722
"beta_key1[3,10]",1.77297066911488,0.251952478748033,1.01844601016938,134.312899193413,359.947591025903
"kappa1[18,19]",0.396656372625564,0.100983546670837,1.01840905898007,257.067697404403,458.998594090728
"beta_key1[3,7]",1.82205636106259,0.25139363819879,1.0183127298699,134.284618699712,371.139653868231
"beta_key1[3,9]",1.75816312895747,0.251525331999732,1.01826965636271,133.942670637023,351.145439771826
"beta_key1[3,1]",1.80720816473201,0.251592878085978,1.01821146769508,134.719859899576,361.974653974169
"beta_key1[3,3]",1.88521956648118,0.251832751197112,1.01816015914072,137.102706144746,366.005488448512
"beta_key1[3,8]",1.90765693665277,0.254968767931207,1.01804711294599,139.131141069868,367.539971001016
"beta_key1[3,12]",1.74809185843435,0.253898937953406,1.01798613994645,135.218282514522,369.191077285271
"beta_key1[3,11]",1.91645059081969,0.252340000865068,1.0179114558858,136.082690311357,348.677083240347
"beta_key1[3,13]",1.80268015736582,0.254987963078966,1.01789754485826,137.502723043176,379.099922821495
"beta_key1[3,5]",1.6490557419549,0.25445338400832,1.01781457494304,136.829777270945,377.593448791407
"beta_key1[3,14]",1.9267127044067,0.255794453791669,1.01769120390104,139.561105441334,372.484496370459
"beta_key1[3,6]",1.9486902022598,0.253627241651423,1.0176211737242,138.970212231515,379.93248699445
"beta_key1[3,4]",1.90331421777627,0.251973332329609,1.01760715878747,136.523583927409,362.323419536534
"kappa1[4,6]",0.330510016078835,0.0840532552353734,1.0175103903695,254.032871033851,516.715183963164
"kappa1[4,14]",11.3453245600963,1.66623286987052,1.0171323838076,264.212597409483,858.85855419223
"kappa1[15,19]",0.641562499498419,0.167108788082935,1.01600682723124,288.013855511935,526.973852417325
"kappa1[17,4]",0.794812092307602,0.218500530448423,1.01575472926798,321.523557246225,642.28142617734
"kappa1[18,6]",0.31764587391979,0.0842990138949082,1.01506075726022,316.307378765494,564.544262926288
"kappa1[18,14]",8.32210718396906,1.37003569810216,1.01379893345843,341.783939666655,1242.37430896221
"kappa1[17,7]",23.6465433075513,3.95474148996392,1.01376074761092,334.246843363792,1309.23183827655
"kappa1[4,7]",4.5993203269914,0.837969267455696,1.01171711358134,401.139746878982,1600.33635962499
"mu_beta_cr[2,2]",0.639538400514898,0.128364595806482,1.01128335749269,445.625233431155,991.903825110626
"beta_key1[2,5]",0.648108918438561,0.133239413817464,1.01103036124761,483.618668949571,1124.50167779299
"beta_key1[2,10]",0.707668620652299,0.132296258548761,1.01096787670064,470.848925412064,1074.02027765799
"beta_key1[2,2]",0.784890168791896,0.13448953080633,1.01083309096703,485.525099382385,1130.60152962306
"beta_key1[2,7]",0.68183300088624,0.131376995339397,1.0106518207373,459.428475190845,1019.28089166054
"beta_key1[2,12]",0.633482394827864,0.134666390241972,1.01042341413972,495.108278420921,1129.84168869722
"kappa1[6,12]",1.56383383488691,0.279549029396457,1.01039401471759,395.538831021069,1584.93000347256
"beta_key1[2,8]",0.624652917244554,0.136764349193929,1.01037820931866,499.340054209343,1102.68358483583
"beta_key1[2,1]",0.574484185497878,0.131569125404576,1.01035833159462,464.917078409255,1066.05023857265
"beta_key1[2,4]",0.591190141327576,0.13197295497221,1.01016124721545,479.89282066905,1089.23414670028
"beta_key1[2,3]",0.555150997415464,0.132372522089478,1.01015936516402,471.642690258505,1071.49976003628
"beta_key1[2,9]",0.795859502637167,0.131953570161067,1.01015569616387,474.178636900955,1059.25716227065
"kappa1[5,27]",3.23357056717492,0.631534178021021,1.01002782854393,470.554418736695,2134.9971699744
"beta_key1[2,11]",0.535944904610306,0.13153860725759,1.01001358933342,469.132271291992,1062.32632973432
"beta_key1[2,14]",0.584368825145911,0.136039178871258,1.00991408485332,496.490694896196,1136.58134240003
"beta_key1[2,6]",0.442382994043769,0.133799210182852,1.00980329826879,483.754333342808,1136.97967400025
"kappa1[6,20]",1.26755181628459,0.240357679752945,1.00962633502441,465.163405313469,2051.43821875958
"kappa1[6,25]",1.208441515604,0.233097490032326,1.00946500235283,483.971944980435,2210.54659142181
"beta_key1[2,13]",0.80383650423919,0.139763170478351,1.00936675110786,531.217090903231,1306.73154107569
"kappa1[6,22]",1.237841143575,0.238319326133145,1.00936387109995,474.72633604481,2240.54669050687
"kappa1[3,4]",1.20172058068547,0.145547308966606,1.00921969739216,498.950612390554,1053.10816463778
"kappa1[3,7]",15.2807844344463,0.498785595345816,1.00913995452322,380.582254519932,1043.97113685176
"kappa1[5,39]",3.0742519163178,0.611589906255105,1.00910738437298,502.788001034281,2365.42638014795
"kappa1[5,35]",2.9124430520781,0.588102694185815,1.00907381411245,500.900492786303,2144.40623944643
"kappa1[7,3]",38.2343838706694,1.26503412533954,1.00903806305054,390.774342990506,1065.65428063544
"kappa1[3,17]",0.60815581134261,0.0751557678474978,1.00902715994111,516.294305455018,1068.55088297602
"mu_tau[13]",-2.05353872202623,0.129766073212665,1.00836969764545,626.212563052798,1188.77848197346
"kappa1[5,21]",2.66679286201788,0.554212811779216,1.00833710792047,561.012127446305,2589.31215257153
"kappa1[25,18]",21.8035506176789,2.83957592573241,1.00817439898052,572.749831328275,1191.77458885539
"kappa1[7,8]",29.4779341824215,0.986697150189639,1.0081227108148,414.824674372965,1175.49243143537
"kappa1[18,17]",0.114329926355343,0.0392779846227402,1.007906574186,669.318756653794,1689.18082568994
"kappa1[6,28]",0.795558822213458,0.177273070663091,1.00781874867109,645.821488440859,2674.5463775915
"kappa1[6,31]",0.942299347921172,0.197949309427866,1.00765614524122,593.775867420434,2836.80555074919
"mu_tau[14]",-1.90364973228256,0.109270933887531,1.00764177611145,557.605445080266,1473.47219145855
"kappa1[4,17]",0.0788541144293328,0.0283802774567281,1.0075780663245,640.7371895659,1672.68908328954
"mu_tau[1]",-1.75769637671533,0.0929831403598419,1.00740566829639,525.614718665408,1683.47420919116
"kappa1[20,18]",12.8673053348804,1.72034265917944,1.00738948581952,610.628365008548,1394.02759727528
"kappa1[5,12]",2.10850148623626,0.475839313592986,1.00721791384536,652.495099258426,3135.1381517454
"mu_tau[10]",-1.70588438568697,0.086379851972957,1.00688049557381,601.361354928044,1372.05020167788
"kappa0[7,3]",29.1799993321798,1.12524527226854,1.00658905349068,539.576814765831,1632.65747584631
"kappa0[3,7]",14.430129608978,0.527421932146023,1.00651180737826,484.444465069823,1493.64925827302
"kappa1[18,7]",2.39935364043513,0.590645282450721,1.00630731301002,860.240603468181,3634.44706608492
"mu_tau[8]",-1.96105766078236,0.11598779714189,1.00620127524508,443.939247063565,1355.8227674671
"kappa1[15,27]",4.84507018764759,1.14450889032994,1.00589382964708,748.380690914736,3651.18357154916
"kappa1[29,4]",1.87155530917315,0.30486744578185,1.00576707932792,899.075940138812,2309.56380285161
"kappa1[4,35]",1.93507839926405,0.47134694864594,1.005645100189,865.913492943778,4102.38209222379
"kappa0[7,8]",21.0397780045547,0.865973140050215,1.00535530259422,595.875762924795,2105.76294420519
"kappa1[20,17]",3.75745387600065,0.615028867502266,1.00531188160261,934.115150317829,2517.55132728305
"mu_tau[9]",-1.66661777890812,0.107757748129622,1.00525296933464,573.510888059092,1356.0700117144
"kappa1[6,29]",0.622484366667238,0.150546487196681,1.00524080731412,847.106999203213,3681.45136424225
"kappa1[5,17]",0.0440219027397853,0.0185059487839753,1.00513179513031,1170.39765557114,3442.23734128546
"kappa1[4,28]",1.57424474522403,0.413846690278064,1.0051297142229,978.082503520178,4739.0933295046
"kappa1[25,17]",5.29145105354288,0.853467927385384,1.0050430628748,879.359846685038,2313.65998785071
"kappa1[17,38]",5.41756826530761,1.47523838271397,1.0050017223421,1115.3411400342,5234.61682494966
"kappa1[18,12]",1.95093468188634,0.513718908208259,1.00495432888719,979.638048486733,4732.9478742131
"kappa1[8,3]",38.2949263908429,1.65927968466723,1.00495066958137,689.992403461586,2338.00871061232
"kappa1[4,12]",1.66148098842955,0.429527373868834,1.00488711134509,982.173272558793,4669.92701407731
"kappa1[18,35]",1.9495484991978,0.516858851986727,1.00487952495103,1039.66082560681,4643.18326902076
"alpha[3,8]",0.0545711201546876,0.0320363217811354,1.00487820852354,828.737459504699,2107.52651476283
"kappa1[15,35]",4.02795048749321,1.01152878872065,1.00486874946968,893.561177878794,3474.25818285011
"mu_tau[7]",-1.79322480568892,0.0895240650886444,1.00485579883613,579.031120098671,1352.88693595952
"kappa1[4,3]",1.48495803229381,0.401409672746527,1.00477972233933,1036.81517083356,5234.38398095798
"kappa1[6,32]",0.450547623743553,0.124332707883455,1.00467520893223,1105.5984952461,4819.48625298892
"mu_tau[12]",-1.81813964079953,0.0930186268997996,1.00465403137369,686.773753150678,1630.46322875098
"kappa1[32,4]",5.23722259823293,0.850910388958384,1.00461941317441,947.760044026126,2363.20377395611
"kappa1[17,32]",5.08334470527529,1.41681483966588,1.00461727672206,1136.6955511057,6627.52426915633
"mu_tau[6]",-1.49567793233638,0.0850971659987211,1.00453515382899,558.019024420126,1880.02148893768
"kappa1[12,29]",11.2316651163293,0.555540098501072,1.00447799289239,873.128982424664,3146.38826879444
"kappa1[15,21]",3.01923134752645,0.847174666419601,1.00428900997245,1239.67045623228,5988.55802435077
"mu_tau[3]",-1.7394812179789,0.0821083036890662,1.0042627320392,493.694179300363,1406.43799078979
"kappa1[22,4]",1.29320664459436,0.243365904872923,1.00426104707324,1155.90296856921,3094.10461570307
"kappa1[6,33]",0.421822444006169,0.118323270830468,1.00409025556889,1518.07432394533,6944.55443620946
"kappa1[4,21]",1.48209960363116,0.395561136952619,1.00408481712549,1252.81842517588,5381.56139721308
"kappa1[12,4]",0.420566290094677,0.077093406845914,1.00407779139353,1209.82128648718,2878.43648048774
"kappa1[17,25]",4.75833864591182,1.35902248298283,1.00400780928523,1102.20948709867,5333.9394520006
"mu_tau[11]",-1.59821885451169,0.0791452017238409,1.00397276767594,639.346053472489,1468.92543279656
"kappa1[29,17]",1.2497613869749,0.225086068178785,1.00391920107222,1133.54311634936,3166.96866557656
"kappa1[5,14]",1.07927726086508,0.309289739410194,1.00384304560508,1259.491243837,6183.96127213359
"kappa1[31,4]",1.32872252316113,0.271393023006339,1.00357725726206,1447.80000328761,4759.68886100951
"mu_beta_cr[1,3]",1.55257830577442,0.27954478589757,1.00355445711505,973.018441079575,2163.52866373241
"kappa1[18,21]",1.61491999895006,0.456165810326328,1.00352304542891,1326.09907607691,6237.92948313996
"mu_tau[4]",-1.7356805090906,0.0794520849605289,1.00349959708454,602.634489260168,1569.17395637092
"kappa1[12,7]",7.36283863976694,0.414123210322625,1.00344315710585,1140.54760534721,4465.69911723312
"mu_beta_cr[1,1]",-0.228539138317191,0.1267018685054,1.00343350231119,1332.88016662807,2863.97429584502
"kappa1[18,4]",0.0513798387851195,0.0229018170778904,1.00342124832292,1555.73876010207,4310.97102362178
"kappa1[27,6]",19.214577196952,3.94229908900465,1.00336651776534,1530.24685925814,4485.83620733539
"kappa1[3,25]",0.688383158660701,0.0393177238811669,1.00333902273208,1165.25661946947,4146.38697535585
"kappa1[12,17]",0.294806222297983,0.0601012443566707,1.0033356594569,1541.45593086952,4420.01567721212
"beta_key0[3,14]",1.64051567399005,0.302197124636511,1.00331212915993,1101.01405361095,2737.8906972011
"beta_key0[3,5]",1.5063292088292,0.299226297848371,1.00330690154299,1091.16923491191,2945.59206809419
"kappa1[17,12]",3.78731914771489,1.17818018789568,1.00325451184279,1559.93961782515,8528.57469839478
"beta_key0[3,6]",1.56094973809026,0.305434980721966,1.0032378843692,1133.47250594696,2967.88508943839
"kappa1[5,4]",0.0322952421364782,0.0150126658536993,1.00321843112642,1732.81381548692,4614.46110962729
"beta_key0[3,4]",1.63902490174077,0.300717591707569,1.00321287764404,1105.7257242219,2638.25760855904
"kappa1[15,12]",2.60788371479984,0.774975575378028,1.00310420487894,1604.03556802612,6132.66694080984
"beta_key0[3,3]",1.56702110452912,0.301943373830716,1.00310234619852,1131.25992914009,2563.04802751021
"kappa1[3,20]",0.771517738874254,0.0421631024803659,1.0031005970509,1058.06687001802,4544.82342898861
"kappa1[27,15]",17.0723193734617,3.62317077677734,1.00300588843616,1584.00830947725,4828.39382007223
"kappa1[22,31]",22.1680904451455,1.29911629003016,1.00297772761523,1255.67436025627,4717.94687816613
"kappa1[3,12]",0.674069443248925,0.0390283489290232,1.00297296883632,1224.19174547244,4825.07635430821
"kappa1[29,30]",17.5309763148085,1.05151908229614,1.00296955100145,1321.41502942235,5164.26082680711
"alpha[3,13]",0.00432458787328201,0.0367800691685754,1.00296724419208,1769.85755506879,3438.93814034861
"beta_key0[1,14]",-0.220862882939297,0.139980021825449,1.00291994207893,1584.94144832647,3941.24501019883
"kappa1[3,28]",0.683530950425154,0.039165928883032,1.0028902858532,1182.46255753366,5582.91825689024
"kappa1[39,6]",38.598791716382,7.96341492994558,1.00288767589389,1648.24286226864,4772.54889147347
"beta_key0[3,9]",1.43937751170645,0.310431657530404,1.00288473593755,1193.50853818572,3506.67181244483
"kappa1[18,25]",1.17875938420354,0.382671463862138,1.00286702405761,1635.64111801024,8427.50005734056
"beta_key0[3,7]",1.5333622392581,0.306071470303752,1.00284626760708,1145.20134330491,2872.59743915265
"beta_key0[1,5]",-0.267162320636891,0.139754963069123,1.00284622841507,1702.70229208319,4109.8748518452
"beta_key0[1,3]",-0.220800260683372,0.139861959866846,1.00283620026777,1607.97253495596,3745.71625640025
"kappa1[17,36]",3.46061328256087,1.11381461844121,1.00283378214484,1608.18152003087,10134.8161342429
"mu_tau[5]",-1.91620540049311,0.102543577087571,1.00283233048431,722.732730366642,1626.46739570534
"kappa1[21,6]",19.1375368271996,4.07882797291129,1.00283201303404,1633.81456907899,4492.95777089129
"kappa1[17,3]",3.14809275195376,1.055205567247,1.00282997410579,2038.85074362346,7918.42627600034
"kappa1[30,17]",0.511081210798703,0.109930194837328,1.00282867251835,1756.28077879666,4997.36062568495
"beta_key0[3,12]",1.40599879558987,0.31565606571967,1.00280041411916,1235.03912303084,3488.04470194863
"kappa1[3,5]",0.0246995547312442,0.0053422658517903,1.00279351655231,1622.187705465,5555.4698354939
"beta_key0[3,10]",1.54015014443488,0.299974011893395,1.0027891968836,1133.85943525011,2953.2817524605
"beta_key0[1,8]",-0.211315562899503,0.141831929987399,1.00278145573739,1632.52546402834,3863.08540968586
"beta_key0[1,12]",-0.234194003941641,0.140660262966697,1.00276987608172,1655.28853122759,4006.62379596082
"beta_key0[1,4]",-0.25893871323042,0.140552448925402,1.00276771904587,1660.89425125357,4340.79537758634
"beta_key0[1,9]",-0.245982613570763,0.14096024844422,1.00276006520945,1643.64214068027,4110.99062489073
"kappa1[12,5]",0.312207411880076,0.0627016507307379,1.00275638150674,1431.29067057902,4665.06416831932
"kappa1[18,27]",1.28524590281587,0.400192749601819,1.00274486732618,1701.11162562026,8914.54752506034
