"parameter","mean","sd","rhat","ess_bulk","ess_tail"
"mu_beta_cr[2,3]",2.31592608714031,0.13422709689158,1.06352837947049,84.9899643261972,118.540283439419
"mu_beta_cr[1,3]",1.42427336205442,0.127511517413051,1.06273621163147,47.8274531567032,268.362742248686
"beta_key0[3,7]",1.34914313973522,0.129916164360058,1.06252134424738,48.2345507929768,268.384180466495
"beta_key1[3,7]",2.39384627361707,0.135941808531574,1.06224057100915,86.1576119439934,120.214993989067
"beta_key1[3,3]",2.323341935417,0.137369403681701,1.06207089880283,89.5101908525455,174.64768789028
"beta_key1[3,6]",2.26100928678561,0.135211170324188,1.06195351060577,85.9137181368894,140.94054471712
"beta_key1[3,10]",2.34746864392986,0.136568953500717,1.06195051984436,84.8473559139506,137.261217619174
"beta_key1[3,12]",2.27413232706146,0.137029613697019,1.06166465572003,88.4313310205004,125.447493400327
"beta_key1[3,4]",2.43193292843668,0.135921255288558,1.06156328438653,90.182228254297,115.574636199944
"beta_key1[3,2]",2.36366440906125,0.138719509393162,1.06115517634614,89.8401875114946,127.342729550681
"beta_key1[3,11]",2.28855472826581,0.136185497830595,1.06086004230266,88.1512630093029,133.943300778822
"beta_key0[3,5]",1.37384455279671,0.13041784517195,1.06031395350056,49.4912190483767,291.850575594006
"beta_key0[3,9]",1.27966622157382,0.130379021573788,1.0601975260643,49.3613134649892,276.851461862229
"beta_key0[3,3]",1.39517852957902,0.130315073976533,1.06013842089414,49.7347539297307,278.071991691561
"beta_key0[3,11]",1.41939230121835,0.129386342881809,1.06007521889308,50.3358013547456,277.429883221165
"beta_key1[3,5]",2.16189361958804,0.137572057667073,1.05998265738382,88.3282136950822,137.41721418734
"beta_key0[3,1]",1.36366813690033,0.131734180417677,1.05993248662639,50.4244240224116,279.436093600981
"beta_key1[3,9]",2.13497663337576,0.136884492246818,1.05992042074659,89.6807811823386,130.077924849625
"beta_key1[3,1]",2.29883314364593,0.13805991495903,1.05950474090067,91.3816947343841,135.404012858791
"beta_key0[3,13]",1.4580917688031,0.132089268038686,1.05945267250504,50.0225152920682,300.718469778442
"beta_key0[3,6]",1.48368236290774,0.131135175303795,1.05944714216779,49.7279925096813,278.414898911831
"beta_key1[3,8]",2.36997984307526,0.139281411326262,1.05939158855429,92.44400957064,139.247056763925
"beta_key0[3,12]",1.46677267251267,0.131170054596375,1.05908991260183,51.1984275164895,309.286526612424
"beta_key0[3,10]",1.4802048456096,0.131599688697088,1.05905742338457,49.6703009666924,300.413368498303
"beta_key0[3,14]",1.4772702097139,0.132249253897489,1.0587570264473,50.6357401757986,291.519257602044
"beta_key0[3,4]",1.47335802669532,0.130395881223534,1.05842674212411,51.1617216889763,275.665847475577
"beta_key0[3,8]",1.46245855920909,0.132105785912702,1.0576260611619,53.4080535667433,290.933227428687
"beta_key1[3,14]",2.48433857511386,0.139618404025881,1.05709573183921,95.4903280624964,121.17889287109
"beta_key1[3,13]",2.31775324834182,0.141376457363908,1.05643851249635,97.0740146057446,143.056335400335
"beta_key0[3,2]",1.46749368185181,0.132974309065885,1.05629205237271,54.8406214558528,311.151307699726
"kappa0[1,5]",11.3277597931556,1.15097807072745,1.05064918076659,77.5066803273392,318.872148757537
"kappa0[8,1]",15.0585275354089,1.53130007558579,1.05062935995743,77.1011172439292,333.903575538302
"kappa0[1,8]",7.65227184578436,0.785680043452805,1.04997961770175,78.551844501227,334.415752774414
"kappa0[9,10]",12.4985007406656,1.28343795625386,1.04986470706604,78.9953106120462,324.75866491357
"kappa0[9,11]",14.0868244004653,1.44499134326986,1.04973647519148,79.9147869268705,346.196082410932
"kappa0[11,8]",18.2516760400245,1.86777850262452,1.04966743771166,79.0716291407334,353.141650882017
"kappa0[1,2]",5.75860471103657,0.594997539537169,1.04913505074013,81.2496512290096,347.350946204929
"kappa0[9,15]",8.98785758021874,0.933447027698252,1.04898501597554,81.7264112417748,347.140259301903
"kappa0[3,4]",28.6773528454513,2.98324144699625,1.04890395655936,78.8724396244541,368.686484890168
"kappa0[11,9]",11.7251617680884,1.21536970810174,1.04860902332657,81.4163083965656,354.134711122058
"kappa0[2,3]",15.4658280356946,1.6079281391285,1.04848588868959,82.6537422989784,343.688804078948
"beta_key1[2,6]",1.22328259226977,0.0695841578780528,1.04844750155842,125.548643254346,278.630710302315
"kappa0[12,13]",8.2430355942405,0.856498764494172,1.04752162496175,83.6622461309686,348.16556501486
"kappa0[8,2]",4.80995675297421,0.504542911532802,1.04741852768067,84.9467826934067,345.839159647746
"kappa0[4,12]",23.004651333341,2.42293804186499,1.04709410132232,83.8968140236142,370.770548705085
"kappa0[10,11]",12.712843815556,1.3395749373224,1.04671763211728,85.7557656541275,359.03722200326
"kappa0[12,11]",5.53735624590725,0.585704203502949,1.04665002642384,82.9800156848586,353.391231821577
"mu_beta_cr[2,2]",1.32600137077783,0.0694947518684151,1.04589395417748,129.599096187403,300.034068142965
"beta_key1[2,10]",1.36800496709453,0.0713517977364602,1.04546750200006,130.359918046711,318.485333151434
"beta_key1[2,4]",1.30707151773293,0.0703759715277408,1.04522265883507,135.731093215317,225.865843978309
"kappa0[8,5]",3.46115161142027,0.369592828287584,1.04484789245756,91.8491722851606,386.11031249195
"kappa0[15,11]",7.00362730505174,0.757978528297375,1.04469609466042,87.8073710775382,396.64285491906
"kappa0[11,12]",5.08585218302872,0.547234457673422,1.04456639183863,89.284582208237,402.020978004659
"kappa0[45,1]",1115.89188379366,119.26601560762,1.04446467984528,90.5505900015463,382.986522191227
"kappa0[4,5]",11.9342081443299,1.31255764060716,1.04436712436298,95.6935759889236,398.022952449597
"kappa0[8,9]",2.76484721354898,0.29898522387312,1.04436683500376,89.745013857282,397.476029356729
"beta_key1[2,7]",1.37060508062196,0.0710800155962343,1.04426793594259,138.043957671717,493.41240585878
"kappa0[8,12]",2.49140843156374,0.2713062451791,1.04409701210192,88.9786861130505,417.158514773044
"beta_key1[2,9]",1.1484968289391,0.0710670493293264,1.04398499170152,137.623468863091,288.173797786734
"kappa0[10,12]",8.88228455515245,0.954959733322105,1.04330051094501,90.6426795027153,390.291654696622
"kappa0[12,9]",2.87163598362799,0.315387841944,1.04329465996319,88.2365334058136,417.724002282963
"kappa0[9,12]",3.17432162660278,0.349632920128409,1.04328153041252,89.0949028492708,401.805405209022
"beta_key1[2,12]",1.34978194668013,0.0714482116291179,1.04280598537088,140.291454960001,368.973818621046
"beta_key1[2,11]",1.28901578149138,0.0709388962073384,1.0428013361731,137.156650824084,376.46401314699
"kappa0[15,10]",6.34283001213864,0.69278711660154,1.04254373493374,98.2691729196551,420.125240205176
"beta_key1[2,5]",1.33309014741187,0.0718981284977311,1.04213017976268,141.804832533869,330.555145362174
"kappa0[1,45]",1.67986752124433,0.185534176464887,1.04195858891193,97.2005229991289,437.905712302428
"beta_key1[2,3]",1.35353901421146,0.0724643573811331,1.04192327179762,142.099196005026,340.366482464781
"kappa0[12,5]",2.67652706834602,0.296236425679735,1.04170170588145,101.761074995219,431.840068977023
"kappa0[11,1]",2.92145758686926,0.329180604645802,1.04161983507642,93.0885262445866,462.600481464266
"beta_key1[2,2]",1.4128968369789,0.0744149420188441,1.04105001092459,150.053796443272,434.194243940924
"kappa0[2,4]",4.10397128626299,0.462571926296016,1.04072368917748,97.9577239346624,469.00066090187
"kappa0[1,9]",1.17318037089653,0.133845998990351,1.04031256670361,99.6052131824577,440.13932612746
"beta_key1[2,14]",1.24905166025482,0.0753227448143633,1.04013759161732,151.778124451199,363.810371168164
"beta_key1[2,1]",1.36787633612032,0.0738665992083321,1.04007763713008,148.729924327098,475.649370833109
